stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
271,봉화,2025-01-01,-1.1,-7.8,0526,7.5,1440,,,,,,,8.2,320,1312,4.1,270,1350,0.9,818,250,-6.6,40,1444,68.6,3.8,982.3,1024.6,0320,1019.6,1439,1023.0,9.7,5.1,,,,,,,,,3.4,1.5,-1.2,-13.3,,,,,,,,,,,,,,
271,봉화,2025-01-02,-0.9,-7.0,0709,8.0,1422,,,,,,,7.7,230,1437,3.6,320,1355,1.0,854,290,-8.3,19,1402,63.0,3.4,983.7,1026.6,0725,1021.1,1421,1024.4,9.7,8.4,,,,,,,,,0.8,0.0,-1.7,-13.2,,,,,,,,,,,,,,
271,봉화,2025-01-03,-1.6,-6.7,0515,3.3,1414,,,,,,,12.4,340,1204,6.2,320,1438,2.0,1761,320,-12.4,22,1201,47.0,2.4,984.5,1026.8,2318,1023.6,1412,1025.3,9.7,8.3,,,,,,,,,0.0,0.0,-3.0,-14.2,,,,,,,,,,,,,,
