year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1997,3,1,9.4,5.0,14.4,,10.1,
1997,3,2,6.9,3.4,12.4,,6.6,
1997,3,3,4.6,0.4,8.8,,10.2,
1997,3,4,7.7,0.2,15.1,,9.7,
1997,3,5,8.8,2.7,15.2,,9.4,
1997,3,6,9.8,4.6,14.6,14.7,0.0,
1997,3,7,11.7,6.3,18.0,,9.3,
1997,3,8,10.1,3.6,16.4,,10.1,
1997,3,9,10.7,5.5,16.6,,8.0,
1997,3,10,10.2,9.1,11.7,16.2,0.0,
1997,3,11,11.6,7.8,16.7,,10.0,
1997,3,12,10.8,7.1,14.2,,5.9,
1997,3,13,11.6,8.9,16.8,3.2,2.7,
1997,3,14,8.8,6.8,11.8,8.8,0.0,
1997,3,15,7.2,6.2,8.2,0.2,0.0,
1997,3,16,6.9,5.1,9.9,,1.1,
1997,3,17,7.3,4.4,12.5,,6.3,
1997,3,18,7.8,1.8,13.1,,10.2,
1997,3,19,10.6,5.3,17.0,,5.6,
1997,3,20,10.1,6.8,15.3,,6.7,
1997,3,21,10.3,4.3,15.3,,4.5,
1997,3,22,11.3,8.7,17.2,,6.5,
1997,3,23,9.7,3.9,17.0,,9.3,
1997,3,24,7.4,1.0,13.2,,10.4,
1997,3,25,10.5,3.4,17.5,,7.8,
1997,3,26,11.4,8.2,16.7,0.0,1.1,
1997,3,27,12.0,5.4,19.8,,10.0,
1997,3,28,12.7,6.5,19.8,,7.6,
1997,3,29,12.1,10.5,14.7,1.9,1.3,
1997,3,30,7.9,3.5,14.2,,10.6,
1997,3,31,8.0,0.7,15.8,,10.8,
